Genre,Feature_Importance
2d,0.007936812
action,0.009315191
adventure,0.009490417
atmospheric,0.008464846
casual,0.008327207
co_op,0.007069519
difficult,0.010289988
fps,0.004238709
first_person,0.006139624
funny,0.010871744
great_soundtrack,0.008394392
indie,0.006657264
multiplayer,0.009431837
open_world,0.006724027
rpg,0.007340257
sandbox,0.006971511
sci_fi,0.004902998
shooter,0.005045237
simulation,0.009662849
singleplayer,0.004639541
story_rich,0.005682422
strategy,0.010104656
survival,0.006650407
third_person,0.004824531
review,0.178685617
voted_up,0.166465252
recommended,0.008985321
achievements,0.040015435
avg,0.210434969
gain,0.193459853
mac,0.00772153
linux,0.008210117
big_publisher,0.006845919
